link_post,total_likes,total_comments
https://www.instagram.com/p/DEHaOpVp5YK/,378.0,8.0
https://www.instagram.com/reel/DDLVG7JTLoq/,13.0,0.0
https://www.instagram.com/reel/DCqDzzdzaai/,19.0,0.0
https://www.instagram.com/reel/DCGF58AtZX5/,60.0,3.0
https://www.instagram.com/p/C5NkuprJtrX/,4.0,0.0
https://www.instagram.com/p/C5NksWtpMNr/,5.0,0.0
https://www.instagram.com/p/C5NkpNwps2L/,5.0,0.0
https://www.instagram.com/p/C5NkkSOJIvS/,6.0,0.0
https://www.instagram.com/p/C5NkfFupi9N/,6.0,0.0
https://www.instagram.com/p/C5NkbjjpMt_/,8.0,0.0
https://www.instagram.com/p/C5NkYFDJizj/,5.0,0.0
https://www.instagram.com/p/C5NkWBcpJE3/,6.0,0.0
https://www.instagram.com/p/C5NkTtBJFXc/,4.0,0.0
https://www.instagram.com/p/C5NkPlIJeBw/,5.0,0.0
https://www.instagram.com/p/C5NkL8hpdXm/,10.0,0.0
https://www.instagram.com/p/C5NkHeupNvN/,5.0,0.0
,,
