link_post,total_likes,total_comments
https://www.instagram.com/p/C_SOkj3pUzf/,43,1
https://www.instagram.com/p/C-HDtsFSZgw/,52,1
https://www.instagram.com/p/C-HEsSjyhyS/,38,0
https://www.instagram.com/reel/DGnYewBpvBa/,32,13
https://www.instagram.com/reel/DEhjbO8v-El/,1379,21
https://www.instagram.com/p/DC7-4v2TVvc/,79,5
https://www.instagram.com/reel/DC6ftAJzi85/,42,1
https://www.instagram.com/p/DCRh2exT1Xp/,42,0
https://www.instagram.com/reel/DCG9fVICrcU/,73,7
https://www.instagram.com/reel/DBniG0ai8er/,25,0
https://www.instagram.com/reel/DAqCxfvCvAo/,62,11
https://www.instagram.com/reel/DAKDx6EseLp/,51,1
https://www.instagram.com/reel/C_0f-A2yiE1/,94,4
https://www.instagram.com/reel/C-6kFO0yRhS/,69,8
https://www.instagram.com/reel/C-uhghdpzeP/,69,0
https://www.instagram.com/reel/C-tb1NyS4k6/,78,0
https://www.instagram.com/reel/C-ooVXEyxKd/,43,0
https://www.instagram.com/p/C-msp3hvCh3/,216,0
https://www.instagram.com/p/C-b6A7fphgr/,64,0
https://www.instagram.com/reel/C-ILJexSxkQ/,34,4
https://www.instagram.com/reel/C-HGu1ViLQS/,35,0
https://www.instagram.com/reel/C7-6rt4Jm_C/,17,0
https://www.instagram.com/p/C78f0_vpn8V/,20,0
https://www.instagram.com/p/C76W9-NJDO9/,22,0
https://www.instagram.com/p/C737UbCJEEm/,15,0
https://www.instagram.com/p/C7tdsjcJcI-/,26,0
https://www.instagram.com/p/C7n9OEJpEUc/,27,0
https://www.instagram.com/p/C7VU7VUSuh5/,24,0
https://www.instagram.com/reel/C7Slq8ySokw/,22,2
https://www.instagram.com/p/C5QXPBkJ3Ie/,13,0
https://www.instagram.com/reel/C4NISFop3hs/,27,0
https://www.instagram.com/reel/C4H3239JIjJ/,34,0
https://www.instagram.com/reel/C4GORj2pTex/,26,3
https://www.instagram.com/reel/C3-JNy9pQau/,21,0
https://www.instagram.com/p/C27QJYzJJiH/,38,0
https://www.instagram.com/reel/C27NhUFpeh1/,16,0
https://www.instagram.com/reel/C1UJf5_JeDm/,18,0
https://www.instagram.com/reel/C08eVvkpJPT/,24,3
https://www.instagram.com/p/C08X3qtpmRY/,20,0
https://www.instagram.com/p/C0x-ZyCp6B2/,17,0
https://www.instagram.com/p/C0x8io6JvVc/,29,0
https://www.instagram.com/reel/C0wOLILJUyV/,30,0
