link_post,total_likes,total_comments
https://www.instagram.com/reel/DJbvWNRTLV7/,75.0,4.0
https://www.instagram.com/reel/DJY6QbhTKHp/,111.0,3.0
https://www.instagram.com/p/DJTBbbwSgra/,74.0,1.0
https://www.instagram.com/p/DJRoZt8yfZe/,40.0,0.0
https://www.instagram.com/reel/DJK_sd8SGdD/,244.0,3.0
https://www.instagram.com/reel/DJJrEU9yxsd/,72.0,0.0
https://www.instagram.com/p/DJGxfSHxijr/,113.0,6.0
https://www.instagram.com/reel/DJGsXsbRu2L/,50.0,4.0
https://www.instagram.com/p/DJF1luIS98j/,77.0,0.0
https://www.instagram.com/reel/DI8aXGlx23A/,126.0,1.0
https://www.instagram.com/p/DI7iaD2Sncl/,97.0,10.0
https://www.instagram.com/p/DI6LBfzhG8u/,261.0,2.0
https://www.instagram.com/reel/DIyPfhjS_hb/,174.0,88.0
https://www.instagram.com/reel/DIsMpGyTh1J/,72.0,1.0
https://www.instagram.com/reel/DIbeB-1hkRI/,150.0,1.0
https://www.instagram.com/p/DIYv9A_yNTe/,81.0,0.0
https://www.instagram.com/reel/DIWLWtXSrUu/,310.0,4.0
https://www.instagram.com/reel/DIWBMjLShR1/,,
https://www.instagram.com/p/DIBhLZJBbqF/,252.0,2.0
https://www.instagram.com/reel/DH_dHhuTh3w/,83.0,0.0
https://www.instagram.com/p/DH_FgofSrS9/,,
https://www.instagram.com/reel/DH95BJyIVYj/,55.0,12.0
https://www.instagram.com/reel/DH2R3Udx4D8/,421.0,2.0
https://www.instagram.com/reel/DHlLjH-TFdl/,182.0,2.0
https://www.instagram.com/reel/DHi1cSZTGQS/,114.0,0.0
https://www.instagram.com/reel/DHdkjPcSbXj/,184.0,5.0
https://www.instagram.com/p/DHdiMlNTRDg/,190.0,9.0
https://www.instagram.com/reel/DGuRzPNyAyn/,76.0,0.0
https://www.instagram.com/reel/DGfifLiSF3T/,,
https://www.instagram.com/reel/DGfNv1hRyJ5/,85.0,4.0
https://www.instagram.com/reel/DGcDz5oPhL2/,34.0,2.0
https://www.instagram.com/reel/DGaj-LSyEdF/,,
https://www.instagram.com/reel/DGZcqTTzpIO/,236.0,3.0
https://www.instagram.com/reel/DGU4i1nxGpa/,85.0,0.0
https://www.instagram.com/reel/DGPEBWZzfEH/,53.0,0.0
https://www.instagram.com/reel/DGFl_6tTfd2/,42.0,0.0
https://www.instagram.com/reel/DGABtcjTXWb/,49.0,2.0
https://www.instagram.com/reel/DF9NhIEzl9N/,83.0,3.0
https://www.instagram.com/reel/DF5dvbnzJ5J/,37.0,0.0
https://www.instagram.com/reel/DF4YmoHTfvO/,52.0,1.0
https://www.instagram.com/p/DF4SDqlPo4_/,250.0,22.0
https://www.instagram.com/reel/DF3-9F2SDN7/,42.0,0.0
https://www.instagram.com/reel/DFuBuJHzNvE/,129.0,2.0
https://www.instagram.com/reel/DFjo-9PyMQt/,,
https://www.instagram.com/reel/DFjfrNizJ7h/,178.0,6.0
https://www.instagram.com/reel/DFZyFk2z8kx/,,
https://www.instagram.com/p/DFS-mK4T_Na/,301.0,0.0
https://www.instagram.com/reel/DFSC92DzvpS/,77.0,3.0
https://www.instagram.com/p/DFQAcesTVh5/,135.0,0.0
https://www.instagram.com/reel/DFFSGHvzQcZ/,86.0,3.0
https://www.instagram.com/reel/DFAEDeNSla8/,63.0,5.0
https://www.instagram.com/reel/DE9cDo4z1k4/,102.0,0.0
https://www.instagram.com/reel/DE8reKgTbP6/,228.0,5.0
https://www.instagram.com/reel/DE6xowQTq8E/,153.0,17.0
https://www.instagram.com/reel/DEo9JsHTH7m/,149.0,3.0
https://www.instagram.com/reel/DEmRcGjy_yH/,265.0,14.0
https://www.instagram.com/reel/DEkLMKpTVAe/,30.0,4.0
https://www.instagram.com/reel/DEjQsgYT6CL/,388.0,16.0
https://www.instagram.com/p/DEfBohQTjcr/,143.0,0.0
https://www.instagram.com/reel/DEYd5rvTYRM/,57.0,2.0
https://www.instagram.com/reel/DEWKsbvTSZE/,201.0,0.0
https://www.instagram.com/reel/DEUyrQOTE2n/,151.0,2.0
https://www.instagram.com/reel/DERRxorzNQV/,3040.0,44.0
https://www.instagram.com/p/DEQJRC_TtGe/,154.0,0.0
https://www.instagram.com/reel/DEPLwKNzUMG/,53.0,0.0
https://www.instagram.com/reel/DEKsub8z8pT/,2737.0,87.0
https://www.instagram.com/reel/DEJQAa3Scpk/,200.0,10.0
https://www.instagram.com/reel/DD1ROXzT0PN/,98.0,0.0
https://www.instagram.com/reel/DDv5dftTlJ2/,48.0,0.0
https://www.instagram.com/reel/DDnrYByyJ6E/,,
https://www.instagram.com/reel/DDl31-AvXar/,53.0,0.0
https://www.instagram.com/reel/DDi7m3mTFFH/,140.0,8.0
https://www.instagram.com/reel/DDgMyOPz-r4/,58.0,0.0
https://www.instagram.com/reel/DDT3oCUTLJi/,58.0,0.0
https://www.instagram.com/reel/DDS508_zWW6/,40.0,2.0
https://www.instagram.com/reel/DDPFsFIzdB3/,85.0,0.0
https://www.instagram.com/reel/DDMKHtOTaAU/,72.0,0.0
https://www.instagram.com/reel/DDJijAIzG3N/,80.0,0.0
https://www.instagram.com/reel/DC-Pl0XTM9c/,313.0,1.0
https://www.instagram.com/reel/DC9aHkizJn1/,58.0,2.0
https://www.instagram.com/reel/DC3P_oTzv4u/,57.0,7.0
https://www.instagram.com/reel/DC1JvRuzDpD/,123.0,4.0
https://www.instagram.com/reel/DCtWJxlzISf/,172.0,3.0
https://www.instagram.com/reel/DCrH0d6TasZ/,153.0,5.0
https://www.instagram.com/reel/DCopLaPMy0m/,144.0,0.0
https://www.instagram.com/p/DCf_n6_SUJV/,244.0,13.0
https://www.instagram.com/reel/DCb4MuRSAmX/,83.0,0.0
https://www.instagram.com/p/DCbUiVizL7w/,96.0,1.0
https://www.instagram.com/reel/DCY4XnQOS1-/,96.0,8.0
https://www.instagram.com/reel/DCWufBBRDQT/,73.0,0.0
https://www.instagram.com/reel/DCVxQxYS1Ka/,87.0,1.0
https://www.instagram.com/reel/DCTUwGCSSMO/,132.0,13.0
https://www.instagram.com/reel/DCSkN5fsIIF/,119.0,0.0
https://www.instagram.com/reel/DCNy0JuRrAa/,344.0,5.0
https://www.instagram.com/p/DCErbw5Tni8/,91.0,0.0
https://www.instagram.com/p/DCBqUmgzHND/,146.0,2.0
https://www.instagram.com/reel/DB8t8zSRf8E/,20.0,0.0
https://www.instagram.com/reel/DB8TX6nStgM/,87.0,6.0
https://www.instagram.com/reel/DB1S9aYvqMu/,106.0,0.0
https://www.instagram.com/p/DB0TiM8zZqZ/,67.0,0.0
https://www.instagram.com/reel/DBtLrqpsEfF/,59.0,0.0
https://www.instagram.com/reel/DBqLjrpPNN0/,61.0,0.0
https://www.instagram.com/reel/DBnRIXtuiU8/,248.0,17.0
https://www.instagram.com/reel/DBkaQHBtqW2/,123.0,2.0
https://www.instagram.com/p/DBf62B7T2-R/,138.0,0.0
https://www.instagram.com/reel/DBYDl0TvPJQ/,131.0,3.0
https://www.instagram.com/reel/DBV1b9OgfGz/,100.0,4.0
https://www.instagram.com/reel/DBTXthZgRig/,107.0,6.0
https://www.instagram.com/reel/DBRMq61OTL3/,136.0,0.0
https://www.instagram.com/reel/DBQCQqDv_20/,36.0,0.0
https://www.instagram.com/p/DBJr0P2T9Iv/,380.0,17.0
https://www.instagram.com/reel/DBG29HzNi1P/,58.0,0.0
https://www.instagram.com/reel/DA-aS6XNaaw/,69.0,0.0
https://www.instagram.com/reel/DA2PSPBsM7v/,146.0,5.0
https://www.instagram.com/reel/DAzcEMHugoZ/,118.0,3.0
https://www.instagram.com/reel/DAxr6VOheP2/,225.0,3.0
https://www.instagram.com/reel/DAnB5SLyuL1/,66.0,0.0
https://www.instagram.com/reel/DAlNFozu07z/,74.0,0.0
