link_post,total_likes,total_comments
https://www.instagram.com/reel/DBQ4isKSOUN/,5026.0,42.0
https://www.instagram.com/p/DJQ5TXpy_OR/,94.0,1.0
https://www.instagram.com/p/DJCAK-rymGe/,80.0,0.0
https://www.instagram.com/p/DI23wy_yxqD/,128.0,0.0
https://www.instagram.com/p/DI08LC4yBJL/,48.0,0.0
https://www.instagram.com/p/DIyzQ0WyAXF/,116.0,0.0
https://www.instagram.com/p/DIytWa5SDvD/,16.0,0.0
https://www.instagram.com/p/DIys4pbymAH/,33.0,8.0
https://www.instagram.com/p/DIysKFfynK3/,32.0,0.0
https://www.instagram.com/p/DH5iT8fz-_6/,,
https://www.instagram.com/reel/DHU8O3Qydo9/,6.0,0.0
https://www.instagram.com/reel/DGPg_1SStcY/,9.0,0.0
https://www.instagram.com/reel/DGPDUB9S-aH/,95.0,35.0
https://www.instagram.com/reel/DGNReXizDbx/,60.0,9.0
https://www.instagram.com/p/DGFKOS2y0TU/,49.0,4.0
https://www.instagram.com/reel/DEbgxFNys5p/,83.0,0.0
https://www.instagram.com/reel/DEU-CErTE8T/,22.0,4.0
https://www.instagram.com/reel/DEQoTQGTzK6/,,
https://www.instagram.com/reel/DEQEaN7zEoh/,150.0,6.0
https://www.instagram.com/reel/DD3O9O9SC-9/,66.0,15.0
https://www.instagram.com/reel/DDzEdj1Sxra/,99.0,2.0
https://www.instagram.com/reel/DDo28I3yOGe/,1294.0,57.0
https://www.instagram.com/reel/DDg1dh6S178/,91.0,6.0
https://www.instagram.com/reel/DDRJ3mXyqUD/,112.0,0.0
https://www.instagram.com/reel/DDPOZ6SvlCc/,19.0,0.0
https://www.instagram.com/reel/DDO-uI-yma7/,55.0,2.0
https://www.instagram.com/reel/DDMbbQlyJHh/,22.0,0.0
https://www.instagram.com/p/DC_DPDbyqOR/,133.0,13.0
https://www.instagram.com/reel/DC8EMcKyzIo/,6.0,2.0
https://www.instagram.com/reel/DCwjS4YSojB/,91.0,5.0
https://www.instagram.com/reel/DCtudjXyJsN/,43.0,6.0
https://www.instagram.com/p/DCMhPeZzuFt/,,
https://www.instagram.com/reel/DCDnc89vYzy/,,
https://www.instagram.com/reel/DBgsXjXyhxV/,88.0,13.0
https://www.instagram.com/p/DBQKVHLv9uP/,120.0,8.0
https://www.instagram.com/reel/DBQAOBwSFt3/,20.0,0.0
https://www.instagram.com/reel/DBLIyt3PiYn/,88.0,18.0
https://www.instagram.com/reel/DAfgf_5yDqw/,26.0,1.0
https://www.instagram.com/reel/DAfBkRpSmLv/,,
https://www.instagram.com/p/DAXnPslyLDn/,102.0,5.0
https://www.instagram.com/reel/DAVhBgNyNnS/,73.0,3.0
https://www.instagram.com/reel/DAMrdvWiZuo/,37.0,0.0
https://www.instagram.com/reel/DAFas6ayxjW/,25.0,0.0
https://www.instagram.com/reel/DADC6w6JD0I/,53.0,4.0
https://www.instagram.com/reel/C_mlQ-wSvsg/,39.0,4.0
https://www.instagram.com/reel/C_CFlQ-SxBr/,28.0,2.0
https://www.instagram.com/reel/C-1hesxyEoc/,229.0,18.0
https://www.instagram.com/reel/C-0B6FwvuF_/,105.0,1.0
https://www.instagram.com/reel/C-wkQKsyP09/,23.0,0.0
https://www.instagram.com/reel/C-tXvLNyTbi/,163.0,2.0
https://www.instagram.com/reel/C-sSyUnyInd/,55.0,11.0
https://www.instagram.com/reel/C-p3pC0yp6V/,35.0,0.0
https://www.instagram.com/reel/C-mHLBgyfHy/,35.0,0.0
https://www.instagram.com/reel/C-h2YxqSn8K/,18.0,2.0
https://www.instagram.com/reel/C-bgku3ya3j/,146.0,8.0
https://www.instagram.com/reel/C-YvxqCycm-/,53.0,0.0
https://www.instagram.com/p/C-NS3J5TVjI/,104.0,6.0
https://www.instagram.com/reel/C-MGAJZSXaz/,207.0,18.0
https://www.instagram.com/p/C9Z-Qjbymf6/,254.0,33.0
https://www.instagram.com/reel/C9WI_MfSyxD/,52.0,2.0
https://www.instagram.com/reel/C9UzNgHyZhe/,19.0,0.0
https://www.instagram.com/p/C9NF4V9SzUq/,48.0,0.0
https://www.instagram.com/reel/C9JJWhXSw5A/,21.0,0.0
https://www.instagram.com/p/C9JKD9_SzCO/,21.0,0.0
https://www.instagram.com/reel/C9HH77OPXEk/,190.0,0.0
https://www.instagram.com/reel/C9ET3wnSr1q/,,
https://www.instagram.com/reel/C89teakSMfh/,147.0,15.0
https://www.instagram.com/p/C833u4jSphH/,85.0,1.0
https://www.instagram.com/p/C8zjObsS6cK/,31.0,0.0
https://www.instagram.com/reel/C8zTlhESzpT/,40.0,0.0
https://www.instagram.com/p/C8yD0TOyZJc/,72.0,0.0
https://www.instagram.com/reel/C8v8gI3yldm/,,
https://www.instagram.com/p/C8n0sfEy_Y2/,41.0,1.0
https://www.instagram.com/p/C8mQ1R7Sxib/,37.0,1.0
https://www.instagram.com/p/C8js5HQpxn-/,,
https://www.instagram.com/p/C8hxzSOy9EF/,352.0,3.0
https://www.instagram.com/reel/C8clJHMSK5w/,414.0,10.0
https://www.instagram.com/p/C8b2SVYyv9w/,157.0,11.0
https://www.instagram.com/p/C8Rdx-gP1-q/,219.0,10.0
https://www.instagram.com/p/C8RU7Q9v1EN/,239.0,5.0
https://www.instagram.com/p/C7_mYAQSAik/,,
https://www.instagram.com/reel/C7_Pfoqv5xA/,189.0,6.0
https://www.instagram.com/reel/C7-yLncSOSN/,1938.0,53.0
https://www.instagram.com/reel/C7-Ry0USok6/,311.0,0.0
https://www.instagram.com/reel/C771lheypRv/,175.0,7.0
https://www.instagram.com/reel/C76TRaDv0JT/,784.0,14.0
https://www.instagram.com/reel/C7305aOPI7O/,274.0,6.0
https://www.instagram.com/reel/C73bsWMv9Eh/,217.0,16.0
https://www.instagram.com/p/C71rVDNPKSC/,463.0,13.0
https://www.instagram.com/reel/C700QaZRwkI/,,
https://www.instagram.com/p/C7yKU6USIol/,103.0,8.0
https://www.instagram.com/reel/C7yDdEqP3_0/,114.0,2.0
https://www.instagram.com/p/C7o_PxnyI5F/,545.0,37.0
https://www.instagram.com/p/C7UEWfrPlpO/,112.0,0.0
https://www.instagram.com/p/C7QUPCgyQua/,67.0,1.0
https://www.instagram.com/reel/C7Nz8djxgbK/,40.0,1.0
https://www.instagram.com/reel/C6_gea5xuKW/,296.0,28.0
https://www.instagram.com/reel/C65wOv_r4Ep/,37.0,0.0
https://www.instagram.com/p/C6zweLiyy6L/,81.0,1.0
https://www.instagram.com/p/C6jWP0bS5xX/,31.0,1.0
https://www.instagram.com/p/C6Qrc2VLWwS/,20.0,0.0
https://www.instagram.com/reel/C6OHXy_Leo_/,403.0,13.0
https://www.instagram.com/p/C6A8v7Sr62_/,14.0,0.0
https://www.instagram.com/reel/C5qvIN0yKNb/,216.0,33.0
https://www.instagram.com/reel/C5LPiiaLkhU/,40.0,0.0
https://www.instagram.com/p/C3-VbAyS9zm/,94.0,7.0
https://www.instagram.com/reel/C314H2FLxeB/,26.0,0.0
https://www.instagram.com/reel/C3jn6xFPvxK/,115.0,2.0
https://www.instagram.com/reel/C3JltvkxL_m/,77.0,0.0
https://www.instagram.com/reel/C3Da2SDps18/,19.0,3.0
https://www.instagram.com/reel/C2po9FMSrvU/,12.0,0.0
https://www.instagram.com/reel/C2lTNk-yCaK/,,
https://www.instagram.com/p/C2HrKkdLKTx/,76.0,0.0
https://www.instagram.com/reel/C2E-a7VLl44/,10.0,0.0
https://www.instagram.com/reel/C131V3gr196/,125.0,2.0
https://www.instagram.com/reel/C1hvgUcScMb/,37.0,0.0
https://www.instagram.com/p/C1hcJ61LB0-/,15.0,0.0
https://www.instagram.com/p/C1g4KY7LqzZ/,28.0,1.0
https://www.instagram.com/p/C1UCCFNS7jv/,280.0,10.0
https://www.instagram.com/p/C1RZ7UQL75B/,70.0,3.0
https://www.instagram.com/p/C1PMQwELqyk/,26.0,2.0
https://www.instagram.com/p/C1Me_6mLeGT/,33.0,3.0
https://www.instagram.com/p/C1HotVtRn2s/,156.0,11.0
https://www.instagram.com/p/C0D7EVKrrTR/,29.0,0.0
https://www.instagram.com/p/CzxXsd0LwRj/,31.0,1.0
