maps_link,place,username,comment,rating,datetime,sentiment,clean_comment
"https://www.google.com/maps/place/Kawasan+Ekowisata+Gunung+Api+Purba+Nglanggeran/@-7.8454235,110.5318691,15z/data=!4m15!1m8!3m7!1s0x2e7a4e18dcfe713b:0x760d05fd5684a99c!2sNglanggeran,+Kec.+Patuk,+Kabupaten+Gunung+Kidul,+Daerah+Istimewa+Yogyakarta!3b1!8m2!3d-7.8520902!4d110.5304842!16s%2Fg%2F121_514z!3m5!1s0x2e7a51efde7a9e5f:0x64aa1bf07f3811d8!8m2!3d-7.84276!4d110.5379729!16s%2Fg%2F1pzq9f6n6?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kawasan Ekowisata Gunung Api Purba Nglanggeran,Yuliani Nursakinah,"Pertama kalinya mendaki gunung ini karena ada study tour dari sekolah tahun 2014, tour guide - nya ramah banget , penjelasan sejarahnya juga detail dan rute perjalanan yang dipilih bagi orang yang pertama kali mendaki lumayan seru banget walaupun pas pulangnya kaget dan ketawa karena ternyata ada rute anak tangga yang lebih mudah dibandingkan rute perginya. Namun its oke gapapa, perjalanannya seru banget, bagi pemula pendaki gunung ini seru banget sih asli dan tetap sopan santun juga kebersihan wilayah harus tetap kita jaga selaku pengunjung.",5 bintang,1 hari lalu,positive,kali daki gunung study tour sekolah tour guide ramah banget sejarah detail rute jalan pilih orang kali daki lumayan seru banget pulang kaget ketawa nyata rute anak tangga mudah banding rute pergi gapapa jalan seru banget daki gunung seru banget asli sopan santun bersih wilayah jaga unjung
"https://www.google.com/maps/place/Kawasan+Ekowisata+Gunung+Api+Purba+Nglanggeran/@-7.8454235,110.5318691,15z/data=!4m15!1m8!3m7!1s0x2e7a4e18dcfe713b:0x760d05fd5684a99c!2sNglanggeran,+Kec.+Patuk,+Kabupaten+Gunung+Kidul,+Daerah+Istimewa+Yogyakarta!3b1!8m2!3d-7.8520902!4d110.5304842!16s%2Fg%2F121_514z!3m5!1s0x2e7a51efde7a9e5f:0x64aa1bf07f3811d8!8m2!3d-7.84276!4d110.5379729!16s%2Fg%2F1pzq9f6n6?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kawasan Ekowisata Gunung Api Purba Nglanggeran,Slamet Hartono,"Cobalah naik di gunung api purbo ini maka setelah naik nafas jadi lega dan panjang,,selain pemandangan diatas yg oke",5 bintang,4 hari lalu,positive,coba gunung purbo nafas lega panjangselain pandang
"https://www.google.com/maps/place/Kawasan+Ekowisata+Gunung+Api+Purba+Nglanggeran/@-7.8454235,110.5318691,15z/data=!4m15!1m8!3m7!1s0x2e7a4e18dcfe713b:0x760d05fd5684a99c!2sNglanggeran,+Kec.+Patuk,+Kabupaten+Gunung+Kidul,+Daerah+Istimewa+Yogyakarta!3b1!8m2!3d-7.8520902!4d110.5304842!16s%2Fg%2F121_514z!3m5!1s0x2e7a51efde7a9e5f:0x64aa1bf07f3811d8!8m2!3d-7.84276!4d110.5379729!16s%2Fg%2F1pzq9f6n6?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kawasan Ekowisata Gunung Api Purba Nglanggeran,Luthfan Guntur,Rute trail run asik yg ga cuma naik turun lewatin batu? Search profil strava ya,5 bintang,4 hari lalu,positive,rute trail asik turun lewatin batu search profil strava
"https://www.google.com/maps/place/Kawasan+Ekowisata+Gunung+Api+Purba+Nglanggeran/@-7.8454235,110.5318691,15z/data=!4m15!1m8!3m7!1s0x2e7a4e18dcfe713b:0x760d05fd5684a99c!2sNglanggeran,+Kec.+Patuk,+Kabupaten+Gunung+Kidul,+Daerah+Istimewa+Yogyakarta!3b1!8m2!3d-7.8520902!4d110.5304842!16s%2Fg%2F121_514z!3m5!1s0x2e7a51efde7a9e5f:0x64aa1bf07f3811d8!8m2!3d-7.84276!4d110.5379729!16s%2Fg%2F1pzq9f6n6?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kawasan Ekowisata Gunung Api Purba Nglanggeran,Ragil Seno,Nanjak tipis²,5 bintang,6 hari lalu,positive,nanjak tipis
"https://www.google.com/maps/place/Kawasan+Ekowisata+Gunung+Api+Purba+Nglanggeran/@-7.8454235,110.5318691,15z/data=!4m15!1m8!3m7!1s0x2e7a4e18dcfe713b:0x760d05fd5684a99c!2sNglanggeran,+Kec.+Patuk,+Kabupaten+Gunung+Kidul,+Daerah+Istimewa+Yogyakarta!3b1!8m2!3d-7.8520902!4d110.5304842!16s%2Fg%2F121_514z!3m5!1s0x2e7a51efde7a9e5f:0x64aa1bf07f3811d8!8m2!3d-7.84276!4d110.5379729!16s%2Fg%2F1pzq9f6n6?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kawasan Ekowisata Gunung Api Purba Nglanggeran,wina ustati,"Tracking lumayan oke, cuman sepi",5 bintang,6 hari lalu,positive,tracking lumayan cuman sepi
"https://www.google.com/maps/place/Kawasan+Ekowisata+Gunung+Api+Purba+Nglanggeran/@-7.8454235,110.5318691,15z/data=!4m15!1m8!3m7!1s0x2e7a4e18dcfe713b:0x760d05fd5684a99c!2sNglanggeran,+Kec.+Patuk,+Kabupaten+Gunung+Kidul,+Daerah+Istimewa+Yogyakarta!3b1!8m2!3d-7.8520902!4d110.5304842!16s%2Fg%2F121_514z!3m5!1s0x2e7a51efde7a9e5f:0x64aa1bf07f3811d8!8m2!3d-7.84276!4d110.5379729!16s%2Fg%2F1pzq9f6n6?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kawasan Ekowisata Gunung Api Purba Nglanggeran,Tri Eni,"Asik....bersih banget!
Pengelola juara deh.

Walo tinggi 700 MDPL, tapi view cakep KLO sunrise apa pas sunset...KLO siang pas jalan, gerah tapi view tetap cakep seh.

Tiket standar
Parkir standar
Jajanan pinggir jalan, enak hehe...",5 bintang,seminggu lalu,positive,asikbersih banget kelola juara walo mdpl view cakep sunrise sunsetklo siang jalan gerah view cakep tiket standar parkir standar jajan pinggir jalan enak
"https://www.google.com/maps/place/Kawasan+Ekowisata+Gunung+Api+Purba+Nglanggeran/@-7.8454235,110.5318691,15z/data=!4m15!1m8!3m7!1s0x2e7a4e18dcfe713b:0x760d05fd5684a99c!2sNglanggeran,+Kec.+Patuk,+Kabupaten+Gunung+Kidul,+Daerah+Istimewa+Yogyakarta!3b1!8m2!3d-7.8520902!4d110.5304842!16s%2Fg%2F121_514z!3m5!1s0x2e7a51efde7a9e5f:0x64aa1bf07f3811d8!8m2!3d-7.84276!4d110.5379729!16s%2Fg%2F1pzq9f6n6?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kawasan Ekowisata Gunung Api Purba Nglanggeran,Raden Fasha Nurlidia,"Kesini buat penelitian, desa wisata terbaik dari segi fasilitas dan pelayanan keren. Cocok bagi yang mau ngadem dan nyari wisata versi lain jogja.",5 bintang,seminggu lalu,positive,kesini teliti desa wisata segi fasilitas layan keren cocok ngadem cari wisata versi jogja
"https://www.google.com/maps/place/Kawasan+Ekowisata+Gunung+Api+Purba+Nglanggeran/@-7.8454235,110.5318691,15z/data=!4m15!1m8!3m7!1s0x2e7a4e18dcfe713b:0x760d05fd5684a99c!2sNglanggeran,+Kec.+Patuk,+Kabupaten+Gunung+Kidul,+Daerah+Istimewa+Yogyakarta!3b1!8m2!3d-7.8520902!4d110.5304842!16s%2Fg%2F121_514z!3m5!1s0x2e7a51efde7a9e5f:0x64aa1bf07f3811d8!8m2!3d-7.84276!4d110.5379729!16s%2Fg%2F1pzq9f6n6?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kawasan Ekowisata Gunung Api Purba Nglanggeran,Endang Antarwati,"Buat yang hobi trekking, ini adalah salah satu opsi yang menyegarkan. Treknya tidak sulit jadi aman bagi pemula dan anak. Ada dua jalur yang cukup sempit jadi cukup menantang bagi yang berbadan agak besar untuk melewatinya.

Jika menyusuri trek yang direkomendasikan oleh petunjuk jalan dan atau pemandu, kita akan mendapati dua puncak yang disebut puncak Gunung Bagung dan puncak Gunung Api Purba.

Kami berkunjung saat musim hujan, jadi trek cukup licin dan pandangan sering kali terhalang kabut. Namun karena hujan datang dan pergi, jadi masih dapat menemui pemandangan yang bersih dan cerah.

Demi kenyamanan, disarankan menggunakan alas kaki dan pakaian yang cocok dengan medan dan cuaca.

Selesai trip, tersedia banyak keran air, sikat dan kuas untuk membersihkan badan dan alas kaki yang kotor.

Sebagai referensi, berikut adalah biaya yang kami keluarkan.
Tiket masuk: 15rb per orang
Tiket parkir: 5rb per mobil
Jasa pemandu: 100rb per rombongan",5 bintang,seminggu lalu,positive,hobi trekking salah opsi segar trek sulit aman anak jalur sempit tantang badan susur trek rekomendasi jalan pandu puncak puncak gunung bagung puncak gunung purba kunjung musim hujan trek licin pandang kali halang kabut hujan pergi temu pandang bersih cerah nyaman saran alas kaki pakai cocok medan cuaca selesai trip sedia keran sikat kuas bersih badan alas kaki kotor referensi biaya tiket masuk orang tiket parkir mobil jasa pandu rombong
"https://www.google.com/maps/place/Kawasan+Ekowisata+Gunung+Api+Purba+Nglanggeran/@-7.8454235,110.5318691,15z/data=!4m15!1m8!3m7!1s0x2e7a4e18dcfe713b:0x760d05fd5684a99c!2sNglanggeran,+Kec.+Patuk,+Kabupaten+Gunung+Kidul,+Daerah+Istimewa+Yogyakarta!3b1!8m2!3d-7.8520902!4d110.5304842!16s%2Fg%2F121_514z!3m5!1s0x2e7a51efde7a9e5f:0x64aa1bf07f3811d8!8m2!3d-7.84276!4d110.5379729!16s%2Fg%2F1pzq9f6n6?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kawasan Ekowisata Gunung Api Purba Nglanggeran,Joko Riyanto,"Sepanjang saya mendaki disuguhi pemandangan indah dan udara sejuk , mungkin klo bisa di kasih warung di atas .",2 bintang,2 minggu lalu,negative,daki suguh pandang indah udara sejuk kasih warung
"https://www.google.com/maps/place/Kawasan+Ekowisata+Gunung+Api+Purba+Nglanggeran/@-7.8454235,110.5318691,15z/data=!4m15!1m8!3m7!1s0x2e7a4e18dcfe713b:0x760d05fd5684a99c!2sNglanggeran,+Kec.+Patuk,+Kabupaten+Gunung+Kidul,+Daerah+Istimewa+Yogyakarta!3b1!8m2!3d-7.8520902!4d110.5304842!16s%2Fg%2F121_514z!3m5!1s0x2e7a51efde7a9e5f:0x64aa1bf07f3811d8!8m2!3d-7.84276!4d110.5379729!16s%2Fg%2F1pzq9f6n6?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kawasan Ekowisata Gunung Api Purba Nglanggeran,Joko Mulyono,seperti ke dimensi lain. Sejuk asri anti polusi. Nyaman,5 bintang,2 minggu lalu,positive,dimensi sejuk asri anti polusi nyaman
