maps_link,place,username,comment,rating,datetime,sentiment,clean_comment
"https://www.google.com/maps/place/Kantor+Sekretariat+Desa+Wisata+Patihan+Goa+Cemara/@-7.9979041,110.2497294,1110m/data=!3m1!1e3!4m6!3m5!1s0x2e7b019077dabfa9:0xcec25ed862daa06a!8m2!3d-7.9977614!4d110.2495782!16s%2Fg%2F11c5sdcv49?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kantor Sekretariat Desa Wisata Patihan Goa Cemara,TIMAN PENYU,Pelayanan disiplin dan petugasnya ramah ramah,5 bintang,4 bulan lalu,positive,layan disiplin tugas ramah ramah
"https://www.google.com/maps/place/Kantor+Sekretariat+Desa+Wisata+Patihan+Goa+Cemara/@-7.9979041,110.2497294,1110m/data=!3m1!1e3!4m6!3m5!1s0x2e7b019077dabfa9:0xcec25ed862daa06a!8m2!3d-7.9977614!4d110.2495782!16s%2Fg%2F11c5sdcv49?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kantor Sekretariat Desa Wisata Patihan Goa Cemara,Waryadi Yadi,Pelayanan bagus,5 bintang,4 bulan lalu,positive,layan bagus
"https://www.google.com/maps/place/Kantor+Sekretariat+Desa+Wisata+Patihan+Goa+Cemara/@-7.9979041,110.2497294,1110m/data=!3m1!1e3!4m6!3m5!1s0x2e7b019077dabfa9:0xcec25ed862daa06a!8m2!3d-7.9977614!4d110.2495782!16s%2Fg%2F11c5sdcv49?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kantor Sekretariat Desa Wisata Patihan Goa Cemara,Beni Susanto,Pelayanan sangat memuaskn,5 bintang,4 bulan lalu,positive,layan memuaskn
"https://www.google.com/maps/place/Kantor+Sekretariat+Desa+Wisata+Patihan+Goa+Cemara/@-7.9979041,110.2497294,1110m/data=!3m1!1e3!4m6!3m5!1s0x2e7b019077dabfa9:0xcec25ed862daa06a!8m2!3d-7.9977614!4d110.2495782!16s%2Fg%2F11c5sdcv49?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kantor Sekretariat Desa Wisata Patihan Goa Cemara,Sumartono Patihan,"Pantai Goa Cemara, memang jos pengelolanya dlm melayani wisatawan",5 bintang,4 bulan lalu,positive,pantai cemara kelola layan wisatawan
"https://www.google.com/maps/place/Kantor+Sekretariat+Desa+Wisata+Patihan+Goa+Cemara/@-7.9979041,110.2497294,1110m/data=!3m1!1e3!4m6!3m5!1s0x2e7b019077dabfa9:0xcec25ed862daa06a!8m2!3d-7.9977614!4d110.2495782!16s%2Fg%2F11c5sdcv49?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kantor Sekretariat Desa Wisata Patihan Goa Cemara,Iced Lemon Tea,"Pusat informasi di Pantai Goa Cemara. Bersih dan nyaman. Tulisan sekretariat di depan sudah banyak yang lepas, semoga bisa lekas diperbaiki agar indah.",5 bintang,setahun lalu,positive,pusat informasi pantai cemara bersih nyaman tulis sekretariat lepas moga lekas indah
"https://www.google.com/maps/place/Kantor+Sekretariat+Desa+Wisata+Patihan+Goa+Cemara/@-7.9979041,110.2497294,1110m/data=!3m1!1e3!4m6!3m5!1s0x2e7b019077dabfa9:0xcec25ed862daa06a!8m2!3d-7.9977614!4d110.2495782!16s%2Fg%2F11c5sdcv49?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Kantor Sekretariat Desa Wisata Patihan Goa Cemara,Sarkowi Kawe,"Suasananya cukup lumayan teduh, cocok untuk rekreasi keluarga.",3 bintang,6 tahun lalu,neutral,suasana lumayan teduh cocok rekreasi keluarga
"https://www.google.com/maps/place/Mercusuar+Pantai+Pandansari/@-7.9984606,110.248598,16z/data=!4m6!3m5!1s0x2e7b019a25dffcb5:0x6647cf4f752674ca!8m2!3d-7.9996279!4d110.252968!16s%2Fg%2F11bwnd47_9?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Mercusuar Pantai Pandansari,Anang Saputra,"Tempatnya bagus, sejuk",5 bintang,seminggu lalu,positive,bagus sejuk
"https://www.google.com/maps/place/Mercusuar+Pantai+Pandansari/@-7.9984606,110.248598,16z/data=!4m6!3m5!1s0x2e7b019a25dffcb5:0x6647cf4f752674ca!8m2!3d-7.9996279!4d110.252968!16s%2Fg%2F11bwnd47_9?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Mercusuar Pantai Pandansari,02 Aisyah Annisauu Khoir,"tempatnya  aesthetic, sejuk, dan tergolong terjangkau karena hanya bayar parkir. Kalau mau masuk dan naik ke mercusuarnya tambahan bayar 5000. Untuk warung belum byk tapi untuk beli cemilan cukup lengkap. DIJAGA SAMPAH DAN BAWAANNYA YA krn tempat sampah masih sedikit dan kmrn ada beberapa sampah dibuang / ditinggal sembarangan sayang jadi merusak pemandangan nya",5 bintang,2 minggu lalu,positive,aesthetic sejuk golong jangkau bayar parkir masuk mercusuar bayar warung beli cemilan lengkap jaga sampah bawa sampah kemarin sampah buang tinggal sembarang sayang rusak pandang
"https://www.google.com/maps/place/Mercusuar+Pantai+Pandansari/@-7.9984606,110.248598,16z/data=!4m6!3m5!1s0x2e7b019a25dffcb5:0x6647cf4f752674ca!8m2!3d-7.9996279!4d110.252968!16s%2Fg%2F11bwnd47_9?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Mercusuar Pantai Pandansari,Julfana Salsabila,"Mercusuar yang di bangun pada tahun 1997 ini masih aktif di gunakan hingga saat ini. Walupun masih aktif di gunakan, wisatawan bisa memasuki/menaiki mercusuar ini dengan membayar sebesar 10.000 saja.

Di rekomendasikan untuk pergi ke sini pada sore hari, karena pemandangan yang indah saat matahari tenggelam. Tetapi jangan berlama-lama juga di sini, bahaya kalau malam hari, minim penerangan, walaupun ada lampu di dalam mercusuar.

Untuk akses naiknya sendiri tergolong mudah, tetapi wisatawan tetap harus berhati-hati karna tangga yang sudah tua. Jika kalian mau naik hingga bagian atas mercusuar, saya rekomendasikan untuk menggunakan sepatu/sendal yang tidak licin. Karna cukup berbahaya. Untuk kalian yang takut ketinggian, saya sarankan untuk tidak usah naik ningga di bagian atas mercusuar. Karena nanti susah turunnya. Karna tangga di bagian atas sendiri beda dengan tangga-tangga sebelumnya yang melingkar.",4 bintang,2 minggu lalu,positive,mercusuar bangun aktif walupun aktif wisatawan memasukimenaiki mercusuar bayar rekomendasi pergi sore pandang indah matahari tenggelam berlamalama bahaya malam minim terang lampu mercusuar akses golong mudah wisatawan berhatihati tangga mercusuar rekomendasi sepatusendal licin bahaya takut saran ningga mercusuar susah turun tangga beda tanggatangga lingkar
"https://www.google.com/maps/place/Mercusuar+Pantai+Pandansari/@-7.9984606,110.248598,16z/data=!4m6!3m5!1s0x2e7b019a25dffcb5:0x6647cf4f752674ca!8m2!3d-7.9996279!4d110.252968!16s%2Fg%2F11bwnd47_9?entry=ttu&g_ep=EgoyMDI1MDEyOC4wIKXMDSoASAFQAw%3D%3D",Mercusuar Pantai Pandansari,rani maharani,"Ga nyangka nemu mercusuar di yogya.
Mercusuarnya bisa lebih dirawat karena tangganya ada yg keropos dan ada jendela yang rusak.
Bapak penjaganya baik.
Retribusi ke arah pantai IDR 15.000/orang
Parkir roda 4 IDR 10.000
Retribusi masuk mercusuar IDR 5.000/orang",4 bintang,2 minggu lalu,positive,nyangka nemu mercusuar yogya mercusuar rawat tangga keropos jendela rusak jaga retribusi arah pantai orang parkir roda retribusi masuk mercusuar orang
