maps_link,place,username,comment,rating,datetime,sentiment,clean_comment
"https://www.google.com/maps/place/Desa+Wisata+Dewi+Sinta/@-7.8445998,110.4416185,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a510073118f55:0x9830ac0006ee7686!8m2!3d-7.8445998!4d110.4416185!16s%2Fg%2F11w1jt02ts?entry=ttu&g_ep=EgoyMDI1MDEyNi4wIKXMDSoASAFQAw==",Desa Wisata Dewi Sinta,Desa Wisata Sitimulyo,Tempat wisata edukasi yang lengkap dan bervariasi. Cocok untuk liburan berasama keluarga atau teman teman,5 bintang,7 bulan lalu,positive,wisata edukasi lengkap variasi cocok libur berasama keluarga teman teman
"https://www.google.com/maps/place/INDROKILO+HILLS/@-7.8617029,110.4274832,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a51771f18b111:0x73b9ca9d24629bfd!8m2!3d-7.8617029!4d110.4274832!16s%2Fg%2F11p74skl1j?entry=ttu&g_ep=EgoyMDI1MDEyNi4wIKXMDSoASAFQAw==",INDROKILO HILLS,Jitwo lorek,Bakmienya jos wenak,5 bintang,sebulan lalu,positive,bakmienya wenak
"https://www.google.com/maps/place/INDROKILO+HILLS/@-7.8617029,110.4274832,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a51771f18b111:0x73b9ca9d24629bfd!8m2!3d-7.8617029!4d110.4274832!16s%2Fg%2F11p74skl1j?entry=ttu&g_ep=EgoyMDI1MDEyNi4wIKXMDSoASAFQAw==",INDROKILO HILLS,Slamet Rapi,Tempat wisata di Bantul,4 bintang,7 bulan lalu,positive,wisata bantul
"https://www.google.com/maps/place/INDROKILO+HILLS/@-7.8617029,110.4274832,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a51771f18b111:0x73b9ca9d24629bfd!8m2!3d-7.8617029!4d110.4274832!16s%2Fg%2F11p74skl1j?entry=ttu&g_ep=EgoyMDI1MDEyNi4wIKXMDSoASAFQAw==",INDROKILO HILLS,Arnosr 471,✨✨✨,3 bintang,setahun lalu,neutral,
"https://www.google.com/maps/place/INDROKILO+HILLS/@-7.8617029,110.4274832,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a51771f18b111:0x73b9ca9d24629bfd!8m2!3d-7.8617029!4d110.4274832!16s%2Fg%2F11p74skl1j?entry=ttu&g_ep=EgoyMDI1MDEyNi4wIKXMDSoASAFQAw==",INDROKILO HILLS,Arsen Husein,Bulan september ini sangat gersang.daun berserakan dijalan.tempat yang bagus tapi tidak di rawat.eman eman,5 bintang,setahun lalu,positive,september gersangdaun sera dijalantempat bagus rawateman eman
"https://www.google.com/maps/place/INDROKILO+HILLS/@-7.8617029,110.4274832,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a51771f18b111:0x73b9ca9d24629bfd!8m2!3d-7.8617029!4d110.4274832!16s%2Fg%2F11p74skl1j?entry=ttu&g_ep=EgoyMDI1MDEyNi4wIKXMDSoASAFQAw==",INDROKILO HILLS,wibowo santoso,"cocok untuk gowes,rute nya...joss pokok e",5 bintang,setahun lalu,positive,cocok gowesrute nyajoss pokok
"https://www.google.com/maps/place/INDROKILO+HILLS/@-7.8617029,110.4274832,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a51771f18b111:0x73b9ca9d24629bfd!8m2!3d-7.8617029!4d110.4274832!16s%2Fg%2F11p74skl1j?entry=ttu&g_ep=EgoyMDI1MDEyNi4wIKXMDSoASAFQAw==",INDROKILO HILLS,Lita Hapsari,"Jalan menuju lokasi cukup terjal dan aroma sampah cukup menyengat. Untuk lokasi di puncaknya, sepertinya sudah tdk beroperasi. Warung2 tutup hanya tinggal meja kursi.

Kurang rekomen utk tempat wisata, tp klo hanya utk jalan2 lihat view jogja dr atas bukit sih okelah ya...",3 bintang,setahun lalu,neutral,jalan tuju lokasi terjal aroma sampah sengat lokasi puncak operasi warung tutup tinggal meja kursi rekomen wisata jalan lihat view jogja bukit
"https://www.google.com/maps/place/INDROKILO+HILLS/@-7.8617029,110.4274832,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a51771f18b111:0x73b9ca9d24629bfd!8m2!3d-7.8617029!4d110.4274832!16s%2Fg%2F11p74skl1j?entry=ttu&g_ep=EgoyMDI1MDEyNi4wIKXMDSoASAFQAw==",INDROKILO HILLS,NAS,"Minggu kemarin kesana, Ternyata sudah tutup +jalan kotor bgt/terbengkalai",5 bintang,setahun lalu,positive,minggu kemarin kesana nyata tutup jalan kotor bgtterbengkalai
"https://www.google.com/maps/place/INDROKILO+HILLS/@-7.8617029,110.4274832,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a51771f18b111:0x73b9ca9d24629bfd!8m2!3d-7.8617029!4d110.4274832!16s%2Fg%2F11p74skl1j?entry=ttu&g_ep=EgoyMDI1MDEyNi4wIKXMDSoASAFQAw==",INDROKILO HILLS,Heru Trihandoko,Jalan yg menanjak terjal tdk disarankan kesana bagi yg punya gangguan jantung,4 bintang,setahun lalu,positive,jalan tanjak terjal saran kesana ganggu jantung
"https://www.google.com/maps/place/INDROKILO+HILLS/@-7.8617029,110.4274832,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a51771f18b111:0x73b9ca9d24629bfd!8m2!3d-7.8617029!4d110.4274832!16s%2Fg%2F11p74skl1j?entry=ttu&g_ep=EgoyMDI1MDEyNi4wIKXMDSoASAFQAw==",INDROKILO HILLS,Zola Zara,"Kondisi saat ini jalannya tidak terawat, licin karena ada daun dan lumut. Kalo mau ke sini mending kendaraan taruh bawah saja dekat warung kelontong. Semoga bisa dirawat kembali.",4 bintang,setahun lalu,positive,kondisi jalan awat licin daun lumut kendara taruh warung kelontong moga rawat
