post_link,post_id,username,comment,datetime,clean_comment,sentiment
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,sewalurikyogya,Meriah ruameeee iki mesti,2024-12-21T08:40:44.000Z,riah ruamee mesti,neutral
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,nizam.luna.tasya,Beach camping bayar brp ya?,2024-12-18T03:45:42.000Z,beach camping bayar,negative
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,susi.zainal_rizal,Macet mak,2024-12-18T13:50:47.000Z,macet,neutral
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,potrobayan,Gasss,2024-12-16T12:56:34.000Z,gass,neutral
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,sagitarius8789,Ora duwe ayang gimana dong 😢,2024-12-16T23:29:58.000Z,duwe sayang,neutral
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,bahqri,sangu sarung usum adem,2024-12-17T04:08:30.000Z,sangu sarung usum adem,negative
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,erul_vatichin,Bayare piro ?,2024-12-16T19:06:19.000Z,bayare piro,neutral
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,herlan_ontoseno,Live music,2024-12-16T23:33:26.000Z,live music,positive
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,goacemarabeach,"Desa Wisata Patihan mempersembahkan 2025 GOA CEMARA NEW YEAR FESTIVAL31 Desember 202417.00 - 24.00 WIBTaman Parkir Kawasan Wisata Pantai Goa Cemara Dimeriahkan dengan Live Music dari Astern,  Art Perform dari Double I, Beach Camping, Pasar Pesisir,  Lampion dan suguhan New Year Party yang lain.-------LAMPIONPresale 50K - OTS 75K- 1 Lampion, Korek, Voucher PasarPesisir senilai 10KCP LampionGiras  0882 1608 4743Uni  0882 2953 1480-------BEACH CAMPINGPaket BC 3Presale 125K - OTS 150K- Tenda 2x2m, 4 matras, 1 lampu, adm max 3 orangPaket BC 4Presale 150K - OTS 180K- Tenda 2.1x2.4m, 5 matras, 1 lampu, adm max 4 orangPaket BC 5Presale 200K - OTS 230K- Tenda 3.5x2.4m, 6 matras, 1 lampu, adm max 5 orangNon Tenda : adm 15K/orang, tenda dan perkap membawa sendiri.CP CampingTiman : 0818 0403 1194Beni : 0813 2533 0975",2024-12-18T04:46:50.000Z,desa wisata patih sembah cemara year festival desember wibtaman parkir kawasan wisata pantai cemara riah live music astern perform double beach camping pasar pesisir lampion suguh year party lainlampionpresale lampion korek voucher pasarpesisir nila lampiongiras beach campingpaket presale tenda matras lampu orangpaket presale tenda matras lampu orangpaket presale tenda matras lampu orangnon tenda korang tenda bawa sendiricp campingtiman beni,positive
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,indibizjogja.internet.telkom,👏👏,2024-12-24T17:26:09.000Z,,neutral
