post_link,post_id,username,comment,datetime,clean_comment,sentiment
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,sarshakina,Keren 😍😍,2025-04-23T10:21:31.000Z,keren,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,josephineasf,SERRUUUUU 😍,2025-04-23T10:52:26.000Z,serruu,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,omal_siregar1,Keren…👍🏻👍🏻👍🏻,2025-04-23T11:03:47.000Z,keren,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,sangerdessy,"Boleh juga kesana,lebih seru lagi Nda kalo bakpia coklatnya dibawa ke gwbang,pasti lebih seru deh.",2025-04-23T11:07:46.000Z,kesanalebih seru bakpia coklat bawa gwbangpasti seru,negative
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,mahendra_adsus,Wahh seruu bangett,2025-04-23T10:39:36.000Z,wahh seruu bangett,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,kayfiaaa_,Ajak aku dong kakk,2025-04-23T10:25:31.000Z,ajak kakk,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,yasmin_nida,cutee,2025-04-23T13:38:51.000Z,cutee,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,uwi_ran,Keren bgt😍,2025-04-23T11:08:04.000Z,keren banget,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,anggihasnaa,Pengen kesanaaaa,2025-04-23T10:40:57.000Z,kesanaa,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,noviramaherany,"kali ke Yogya, ajak Mama kesitu yaaa ...?",2025-04-23T10:24:23.000Z,kali yogya ajak mama kesitu,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,maeandreinaa,MAU BANGETTT KESANAA!!,2025-04-23T10:36:19.000Z,bangett kesanaa,negative
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,rachelvenisya,ilyy keren bgtt❤️,2025-04-23T12:40:07.000Z,ilyy keren banget,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,shafira.rhmns,Seruu banget😍😍,2025-04-23T11:22:02.000Z,seruu banget,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,ratuuannisaa,Seru banget mau jugaa,2025-04-23T11:06:46.000Z,seru banget jugaa,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,najwakamaliaa,MAUU KESANAAA😍😍😍,2025-04-23T11:23:49.000Z,mauu kesanaa,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,sangerdessy,"Ih ajak mamah,gue juga kali",2025-04-23T11:06:24.000Z,ajak mamahgue kali,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,pututsadono,🔥🔥🔥,2025-04-23T10:27:53.000Z,,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,niesiwiaji,😍😍😍,2025-04-23T10:39:42.000Z,,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,tdclarita_,Maauuuu ikuttttt🤩🤩🤩,2025-04-23T11:33:11.000Z,maauu ikutt,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,d.tristo,Wahhh.... luar biasa Nanda... penjelasannya sangat baik,2025-04-23T13:09:07.000Z,wahh nanda,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,padinamb_,Pengen joinn,2025-04-23T19:53:01.000Z,joinn,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,repermadi,Kalo mau nginep di homestay disana bisa pesan dimana kak?,2025-04-23T11:03:02.000Z,inap homestay pesan,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,mudirans,❤️😍 jadi pengen kesana,2025-04-23T10:27:29.000Z,kesana,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,aliyaaamk,AKHHH SERU BANGET😍😍,2025-04-23T14:15:40.000Z,akhh seru banget,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,jasminealvia,"keren banget tempatnya, jadi pgn kesitu deh",2025-04-23T11:20:44.000Z,keren banget kesitu,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,bagasaltf,seruu bangt!!,2025-04-23T10:58:49.000Z,seruu bangt,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,aryacandr.as__,Asli coklatnya enak banget coyy,2025-04-23T17:58:05.000Z,asli coklat enak banget coyy,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,wiidyyaaa__,very insightful 🔥🔥😍,2025-04-23T10:29:59.000Z,insightful,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,vincentiuslucky_,Keren jadi mau kesituu,2025-04-23T11:02:50.000Z,keren kesituu,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,adityadickyputra,@indaaash jogja sabi kali,2025-04-23T10:31:56.000Z,jogja sabi kali,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,kikiante,Seru....,2025-04-23T15:19:48.000Z,seru,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,naylidahiya,Coooll ! 🔥,2025-04-23T11:00:54.000Z,cooll,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,_larassatiputri,ikuttt,2025-04-23T11:48:31.000Z,ikutt,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,anantaalf,kerennn🔥,2025-04-23T11:52:08.000Z,kerenn,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,andrew.raditya,"Maen ke gunung api purba sekalian Nda, mumpung di ngelanggeran 😎",2025-04-23T13:57:40.000Z,main gunung purba ngelanggeran,negative
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,fianamarshaaa,Kerenn😍,2025-04-23T14:07:23.000Z,kerenn,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,winnyvio,seru bgt ih 🧚‍♀️,2025-04-24T06:21:19.000Z,seru banget,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,lilydamaris,Wah...seru juga ini. Boleh nyoba kesana aaaah...😍,2025-04-24T04:39:20.000Z,wahseru nyoba kesana,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,andrianiaffandi,Jadi pengen kesana,2025-04-24T03:25:28.000Z,kesana,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,rgnmarella,asiik bgtt kegiatannya interaktif😍,2025-04-23T10:17:37.000Z,asiik banget giat interaktif,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,sipanira,Woww😍,2025-04-23T11:32:05.000Z,woww,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,yoelnasrul,Kesitu aahh'...😍,2025-04-23T10:39:29.000Z,kesitu aahh,negative
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,rosananirosa,November mo ke jogja,2025-04-23T10:29:23.000Z,november jogja,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,rosananirosa,November mo ke Jogja mampir ah,2025-04-23T10:30:06.000Z,november jogja mampir,negative
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,pritathexplorer_,uwaaww😍🙌,2025-04-23T10:31:30.000Z,uwaaww,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,rahmaaulia7342,"Sukses ya, Nanda👍",2025-04-23T10:40:29.000Z,sukses nanda,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,miss_thf,Wisata Indonesia ngga kalah Dari luar negeri ya....ga sabar pengen kesana juga...❤️sukses  ya Nanda  sayang,2025-04-23T10:48:48.000Z,wisata indonesia kalah negeri yaga sabar kesana jugasukses nanda sayang,positive
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,rubitabuty,Topppp,2025-04-23T10:51:40.000Z,topp,neutral
https://www.instagram.com/reel/DIyPfhjS_hb/,anandarivii,24hrsofcely,"aaaa seruu bangett, jadi pengen dehh😍❤️",2025-04-23T12:37:45.000Z,seruu bangett dehh,positive
