post_link,post_id,username,comment,datetime,clean_comment,sentiment
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,nurjayatasmin,Sederhana Auranya Sungguh menyenangkan... 😍,2024-10-18T22:01:32.000Z,sederhana aura sungguh senang,positive
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,jagoan.neon188,Sehat selaluuuu❤️❤️,2024-10-18T12:43:49.000Z,sehat selaluu,positive
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,yrprayoga,"Sangat berwibawa dan berkharisma,, sehat selalu untuk semuanya",2024-10-18T12:22:38.000Z,wibawa berkharisma sehat,positive
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,sani_kunnn,auranya udah beda 🔥🔥🔥 waow,2024-10-23T12:16:03.000Z,aura beda waow,negative
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,freshmediaid,Wihhhh😍,2024-11-06T09:57:01.000Z,wihh,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,bundakafkakanya,Melihat keewa merah 😍… maturnuwun gusti bendara,2024-10-20T15:11:03.000Z,lihat merah maturnuwun gusti bendara,positive
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,renyanthony,"Jumat malam kemarin, sepertinya saya lihat Gusti mau nyebrang di zebra cross Halte Bunderan HI. Gusti ngagem topi pet (klo gak salah), berdiri  disebelah saya. Mau nyapa takut nganggu.",2024-10-20T08:02:38.000Z,jumat malam kemarin lihat gusti nyebrang zebra cross halte bunderan gusti ngagem topi salah belah nyapa takut nganggu,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,abangahmad1965,Wah...keren 👍👍👍,2024-10-18T12:50:30.000Z,wahkeren,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,emanuelsugiwiyono,sip,2024-10-18T21:19:57.000Z,,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,dewii_sn,😍😍😍😍,2024-10-19T13:38:32.000Z,,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,haykal.pradipta,🔥,2024-10-18T12:01:10.000Z,,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,dissapearcompletely19,Ndoro,2024-10-19T16:03:09.000Z,ndoro,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,hadisuwarjono,Sehat selalu kanjeng Gusti bendara..😍😍,2024-10-20T19:54:40.000Z,sehat kanjeng gusti bendara,positive
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,pantaiselatanloft2,Sehat selalu,2024-10-18T11:53:51.000Z,sehat,positive
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,mohpandoyo,Sehat selalu gusti @gkrbendara,2024-10-18T23:28:16.000Z,sehat gusti,positive
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,custombenderayk,😍,2024-10-18T23:58:32.000Z,,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,bluelagoonjogja,#Bluelagoonjogja,2024-11-10T00:02:30.000Z,,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,agsusant,❤️👏,2024-10-21T22:11:09.000Z,,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,luhingriksonrattu,Barigas halajur mampahayak GKR BENDARA ❤️,2024-10-18T20:57:32.000Z,barigas halajur mampahayak bendara,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,momoservishp.bantul,❤️❤️,2024-10-19T00:07:08.000Z,,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,luhingriksonrattu,Barigas halajur mampahayak GKR BENDARA ❤️,2024-10-20T22:46:24.000Z,barigas halajur mampahayak bendara,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,staycationjogja.hits,❤️❤️❤️🔥,2024-10-18T14:02:36.000Z,,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,donpedro4548,😍👏pilihan mobil yg tepat,2024-10-18T15:20:48.000Z,pilih mobil,negative
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,jecks.169,🙏,2024-10-20T02:36:23.000Z,,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,odheadza,cuantiknya kelewatan,2024-12-02T09:39:54.000Z,cuantiknya,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,atok_sunarjati,Serukan mBantul !,2024-11-30T16:25:52.000Z,seru mbantul,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,puguh_akbar,Beda ya auranya sm anak pak kepsek ❤️,2024-10-19T01:13:05.000Z,beda aura anak kepala sekolah,negative
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,biemaon7,"Jogja istimewa.. Bangga, kagungan ratu seperti @gkrbendara",2024-10-19T03:36:08.000Z,jogja istimewa bangga kagungan ratu,positive
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,boyongresto_boyongkalegan,❤️❤️❤️❤️❤️,2024-10-19T03:36:57.000Z,,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,yayuk.suyono.9,🔥🔥🔥🔥❤️❤️❤️❤️,2024-10-19T06:04:11.000Z,,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,kalfani32,Kapan nih,2024-10-19T09:41:00.000Z,,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,pantai_pesisir_kiduljawatengah,Mantap sekali,2024-10-19T11:53:56.000Z,mantap,positive
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,apn5150,Salam Konservasi.. ❤️❤️❤️,2024-10-20T00:35:32.000Z,salam konservasi,neutral
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,shaihan_perdana20,Hallo tuan putri😁🙌,2025-04-09T04:06:03.000Z,hallo tuan putri,positive
https://www.instagram.com/reel/DBQ4isKSOUN/,goacemarabeach,er_lin_tang,Rilisnya kapan lagi kak,2025-04-09T12:06:28.000Z,rilis,positive
