post_link,post_id,username,comment,datetime,clean_comment,sentiment
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,_ramadhoni.ee,"akhirnya jadi juga, walaupun air terjunnya kegudur😭 tinggal kenangan air terjun di sorotanku 🥲",2025-01-02T11:00:04.000Z,terjun kegudur tinggal kenang terjun sorot,negative
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,baniplosker,Jln.mulus view indah..udara swjuk...nyaman.👍,2025-01-01T11:27:11.000Z,jlnmulus view indahudara swjuknyaman,neutral
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,lies.mulyadi70,Jalanku tiap hari dr sleman menuju t4 kerjaku di nglipar,2025-01-28T11:27:55.000Z,jalan sleman tuju kerja nglipar,positive
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,atiktaufiqurahman,Nyesellllll kmrn mudik ga kesitu 😪 padahal deket sama rumah. Jadi pengen mudik lagi min......,2025-01-02T04:14:27.000Z,nyesell kemarin mudik kesitu deket rumah mudik,negative
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,adrynnova,Tiap ke wonosari skr lewat sini trus. Dari pathuk ke ngoro oro trus bablas ngetan sampe lapangan terbang. Sepi mulus jembar serasa jalan tol. Tp ati2 byk perempatan tnp bangjo ama warlok pake motor nyebrang 👏,2025-01-04T14:31:53.000Z,wonosari trus pathuk ngoro trus bablas ngetan lapang terbang sepi mulus jembar serasa jalan bangjo warlok pakai motor nyebrang,negative
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,solusiliburan,Gunungkidul 😍👏,2025-01-01T12:31:27.000Z,gunungkidul,neutral
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,kiara_disha,Ahhh Cantiikk Sekalii 😍,2025-01-01T09:39:00.000Z,cantiikk,neutral
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,ciknia_ava,Ini lewatnya mana biar sampai simpang nglanggeran . kasih tau dong yang tau ☺️🙏🏻,2025-01-04T16:24:59.000Z,biar simpang nglanggeran kasih,negative
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,sugenggunungkidul,Lebih indah kali di persimpangan dikasih taman hias,2025-01-02T15:40:41.000Z,indah kali simpang kasih taman hias,positive
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,rehantpratama,Dia yg prnh berkunjung ke griya coklat nglanggeran aku nha yg di bawain oleh² nha,2025-01-01T07:05:04.000Z,kunjung griya coklat nglanggeran bawain,negative
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,agus_eko_saputro,Jos lor gunung kidul Yogyakarta ...jan bingung rep bali lebaran mengko,2025-01-05T14:31:16.000Z,gunung kidul yogyakarta bingung lebaran mengko,neutral
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,nj_panjarwolo,Aq tekan kene malah bingung min.. Arep mulih tujuan jalan petir.. Malah bingung milih belokan sing endii😂,2025-01-03T09:49:24.000Z,tekan kene bingung arep mulih tuju jalan petir bingung milih belok sing endii,neutral
